"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.EE.A3JH","2","3","0.6842160224914551","0.30589401721954346"
"TCGA.ER.A195","6","3","0.6710727214813232","0.2769010663032532"
"TCGA.ER.A199","2","3","0.8032752871513367","0.19225679337978363"
"TCGA.ER.A19B","4","1","0.6069751381874084","0.3842660188674927"
"TCGA.ER.A19C","4","1","0.5431473851203918","0.4483329653739929"
"TCGA.ER.A19D","1","3","0.7208983302116394","0.21864156424999237"
"TCGA.ER.A19N","3","6","0.6832287311553955","0.2797739803791046"
"TCGA.ER.A19P","2","3","0.8817309141159058","0.11410351097583771"
"TCGA.ER.A19Q","2","3","0.8356969952583313","0.10996147990226746"
"TCGA.ER.A19S","3","2","0.5837333798408508","0.4001973271369934"
"TCGA.ER.A2ND","3","4","0.7864162921905518","0.16636455059051514"
"TCGA.ER.A3EV","3","1","0.8570003509521484","0.13411426544189453"
"TCGA.ER.A42L","3","2","0.66713947057724","0.3061116933822632"
"TCGA.FR.A3YN","2","3","0.6538539528846741","0.33605125546455383"
"TCGA.FR.A3YO","4","3","0.9094847440719604","0.041669830679893494"
"TCGA.FR.A44A","2","3","0.5014603734016418","0.4755215048789978"
"TCGA.FR.A729","2","3","0.8756301999092102","0.12205559760332108"
"TCGA.FR.A7UA","2","3","0.6847379803657532","0.2945873439311981"
"TCGA.FR.A8YD","1","3","0.8002018332481384","0.18952220678329468"
"TCGA.FS.A1YX","4","1","0.7026479244232178","0.2162206470966339"
"TCGA.FS.A1ZA","3","1","0.7123462557792664","0.2803114652633667"
"TCGA.FS.A1ZC","4","1","0.7246901392936707","0.27180707454681396"
"TCGA.FS.A1ZF","1","4","0.8917790651321411","0.09020283818244934"
"TCGA.FS.A1ZJ","3","1","0.8826199769973755","0.06066261604428291"
"TCGA.FS.A1ZK","4","1","0.8687664270401001","0.117414690554142"
"TCGA.FS.A1ZQ","1","3","0.8482409715652466","0.14521881937980652"
"TCGA.FS.A1ZS","4","1","0.5505833625793457","0.41756463050842285"
"TCGA.FS.A1ZT","3","2","0.860723078250885","0.13844521343708038"
"TCGA.FS.A1ZY","4","3","0.5804601907730103","0.36015385389328003"
"TCGA.FS.A1ZZ","2","4","0.8701946139335632","0.12964534759521484"
"TCGA.FS.A4F0","2","4","0.5399363040924072","0.45999377965927124"
"TCGA.FS.A4FD","3","1","0.7318190932273865","0.21025852859020233"
"TCGA.FW.A3TV","3","1","0.5907050967216492","0.3734668493270874"
"TCGA.FW.A5DY","2","3","0.5351801514625549","0.4588411748409271"
"TCGA.GF.A4EO","2","3","0.8881931900978088","0.11112714558839798"
"TCGA.GN.A264","4","1","0.8266688585281372","0.126210018992424"
